N,K,T1,D1,T2,D2,T3,D3
100,10,4.2269652061855655e-08,6.4751021241830056e-08,1.0129707553124343e-07,8.729995253915519e-08,2.1188926413082117e-07,1.3330086206896549e-07
132,13,4.1844475721322991e-08,6.2971027372911463e-08,1.4921428571428571e-07,1.1213877551020409e-07,2.6620533476548508e-07,1.4506935944512441e-07
174,17,1.1648349056603774e-07,6.6233490566037747e-08,1.998333333333333e-07,1.3833186274509798e-07,4.0679846938775508e-07,2.3067346938775511e-07
229,22,1.0668840732169155e-07,1.0301688951442645e-07,2.6556595834209968e-07,1.6436710105729037e-07,5.60441695303551e-07,3.0251024531024537e-07
302,30,1.3164491228070175e-07,1.1826491228070175e-07,3.6810857142857144e-07,2.1275e-07,7.3249818181818189e-07,3.8461515151515146e-07
398,39,1.8568686868686872e-07,1.5083838383838384e-07,5.504912165129556e-07,3.3614155712841255e-07,9.7964461516574197e-07,4.7932350352112689e-07
525,52,2.493979366249079e-07,1.8022576271186438e-07,6.4787666370896183e-07,3.586198386331276e-07,1.1462644188110025e-06,5.495236373030223e-07
693,69,2.7803344481605352e-07,2.4875033617212017e-07,8.4555608974358953e-07,4.8351531124497978e-07,1.6635920745920742e-06,8.2771282593375596e-07
914,91,4.7537267080745353e-07,3.6149436392914659e-07,1.27872049689441e-06,5.9266394927536241e-07,2.291918367346939e-06,1.1101204579392735e-06
1206,120,6.5716530612244896e-07,4.2620851063829787e-07,1.7401319727891156e-06,8.5760084388185642e-07,3.1467333912288323e-06,1.5712680851063832e-06
1591,159,7.8570795214637576e-07,4.9492489371752468e-07,2.8920693027210889e-06,1.6082871376811599e-06,3.4860696958028498e-06,1.6774037735849057e-06
2100,210,9.4850325662179795e-07,7.9371978723404284e-07,2.7310276360544219e-06,1.4159987745098046e-06,5.0548698979591835e-06,2.8458313492063483e-06
2772,277,1.4057916666666668e-06,9.2912578616352212e-07,3.8433154761904765e-06,1.6682788296041309e-06,6.246011524822695e-06,3.033973646034816e-06
3659,365,1.9088102398854283e-06,1.259111528822055e-06,5.1840000000000007e-06,2.4874408163265286e-06,9.1711201814058944e-06,4.2836269841269825e-06
4829,482,2.61679169598874e-06,1.6791280113367968e-06,7.4093373349339737e-06,3.7449822820694546e-06,1.2172662040816328e-05,5.2671225000000015e-06
6374,637,3.2000985915492951e-06,2.1793793103448271e-06,9.4757785915492957e-06,4.6881976470588229e-06,1.3864629203794193e-05,6.0749811616954471e-06
8413,841,3.968888888888888e-06,2.7108888888888892e-06,1.2822854875283447e-05,6.0827410867961648e-06,2.0003982222222222e-05,8.9461811764705873e-06
