N,K,T1,D1,T2,D2,T3,D3
100,33,2.3287356321839045e-08,1.018787878787879e-07,3.0133036707452717e-07,2.6455750350631127e-07,2.092873563218391e-07,2.0448484848484854e-07
132,44,1.1028024193548384e-07,1.1842361111111108e-07,4.1348498331479417e-07,2.5063969035890222e-07,3.5730107526881717e-07,2.1845578231292519e-07
174,58,1.4938888888888893e-07,1.4754926624737947e-07,5.5030645161290325e-07,3.0884726793943392e-07,4.8023333333333327e-07,2.735904761904762e-07
229,76,2.2634301075268818e-07,1.7709564233163551e-07,7.6866781609195398e-07,3.9746551724137936e-07,7.6219583333333341e-07,4.0958004385964917e-07
302,100,2.773172413793103e-07,2.0913087774294668e-07,9.864666666666668e-07,4.9476100628930825e-07,9.0444285714285709e-07,4.737571428571429e-07
398,132,3.8894597701149425e-07,2.7914700544464608e-07,1.3259666666666667e-06,6.5128679245283023e-07,1.1160466666666667e-06,5.7269568627450989e-07
525,175,4.44625e-07,2.9435969387755106e-07,1.8128666666666666e-06,8.6211666666666678e-07,1.4678125000000002e-06,7.3361642156862774e-07
693,231,6.0979195402298837e-07,4.3665147783251215e-07,2.5372999999999998e-06,1.230590476190476e-06,1.9683666666666662e-06,1.018593333333333e-06
914,304,9.0584047619047627e-07,6.0460714285714289e-07,3.3655666666666666e-06,1.5874487179487176e-06,2.5570666666666666e-06,1.2936025641025638e-06
1206,402,1.13224e-06,7.4544571428571428e-07,4.6198333333333336e-06,2.1497666666666672e-06,3.1797214285714288e-06,1.5234091478696745e-06
1591,530,1.3609e-06,7.6125151515151525e-07,6.2311000000000004e-06,2.9432555555555563e-06,4.775102380952381e-06,2.2690934065934067e-06
2100,700,2.0152533333333337e-06,1.0605623529411759e-06,8.4655333333333339e-06,3.2898999999999988e-06,7.6210047619047618e-06,3.9211990881458963e-06
2772,924,2.3847066666666667e-06,1.6351171428571431e-06,1.13758e-05,5.2760256410256415e-06,7.9689666666666677e-06,3.8667115384615397e-06
3659,1219,4.1408321839080453e-06,2.5682844827586212e-06,2.4674688095238094e-05,1.5038024725274729e-05,1.03072e-05,4.2863541666666667e-06
4829,1609,4.2902854166666665e-06,2.8748854166666664e-06,2.0928766666666665e-05,8.6886666666666652e-06,1.3588004166666665e-05,6.4341874999999993e-06
6374,2124,5.1594696969696957e-06,3.5249696969696959e-06,2.8288200000000001e-05,1.3097565384615388e-05,1.8904016129032257e-05,8.9439629375428956e-06
8413,2804,6.444685897435897e-06,4.5988049450549449e-06,3.7214449999999997e-05,1.7654129487179487e-05,2.3378283333333333e-05,1.146573205128205e-05
11105,3701,9.9135933333333334e-06,6.7423733333333343e-06,5.2084433333333332e-05,2.3444438095238087e-05,3.2871433333333332e-05,1.5751015686274506e-05
14658,4886,9.9117891472868192e-06,8.1114343853820572e-06,6.606703333333333e-05,3.2975425925925919e-05,3.9040899999999994e-05,2.0100871428571441e-05
19348,6449,1.6723028571428571e-05,1.0783132275132276e-05,9.4132099999999993e-05,3.9409479999999988e-05,5.435824285714286e-05,2.4509732142857122e-05
25539,8513,1.6889633333333332e-05,1.2401952482269501e-05,0.00013264293103448275,6.1119813387423925e-05,7.6212451612903224e-05,3.5531813315030886e-05
33711,11237,2.7604447619047624e-05,1.5879862637362639e-05,0.00017292756666666665,8.0953389937106905e-05,0.00010221183333333333,4.8919462745098035e-05
44498,14832,4.0646517241379309e-05,2.6162333908045976e-05,0.00023346843333333335,0.00010268825686274511,0.0001334924,6.2955262745098041e-05
58737,19579,4.8714766666666663e-05,2.9333738095238105e-05,0.0003269936747126437,0.00014216251588911429,0.00017196109999999997,8.1108313725490177e-05
77532,25844,6.9590692156862739e-05,4.5096889012208647e-05,0.00042714986666666664,0.00019404615641025637,0.00023189041904761906,0.00011568789849624055
102342,34114,8.1729251515151509e-05,4.8200215151515154e-05,0.00057435146666666675,0.00025801779615384628,0.00031348769259259264,0.00015280786932215238
135091,45030,0.00011691079999999999,7.8883683333333328e-05,0.00081152797241379308,0.00036326813241379307,0.00039486838064516127,0.00019265256340378196
178320,59440,0.00014947155632183908,9.177127502102608e-05,0.0010569388333333334,0.00046442089887005662,0.00053276793333333333,0.00024857493459119496
235382,78460,0.00020566483333333337,0.00013009025789473689,0.0014257949333333331,0.00063422019999999975,0.00070133293333333329,0.00033379110384615379
310704,103568,0.00026133639032258061,0.00015214223141654984,0.0019282986666666665,0.00083983158627450949,0.00089648820000000004,0.00042226511923076926
410129,136709,0.00035075206296851567,0.00019785792136910258,0.0027373222758620692,0.0012386348135376758,0.001154553273772205,0.00056415989515151536
541370,180456,0.00040821557518796992,0.00023650685714285711,0.0035690552228070174,0.0015755888222222219,0.0016447674228070178,0.00077107213333333367
714608,238202,0.00064821803333333337,0.00041001066585365865,0.0049390905666666677,0.0022020728717948731,0.0021910384666666664,0.0010581267910256408
943282,314427,0.0008384370666666668,0.00049070935294117659,0.0068084271666666672,0.0029992399076923075,0.0028349584666666665,0.0013164090568627449
1245132,415044,0.0010897236505376343,0.00063286131405964697,0.0093878174666666668,0.0040873132615384623,0.0037356037333333334,0.0017466361549019608
1643574,547858,0.0013748098849462366,0.00082876945161290336,0.013191276333333331,0.0058359782269230753,0.0047478452666666667,0.0022560086987179484
2169517,723172,0.001968762918390805,0.0010900885172413798,0.0183479514,0.0080525895910256405,0.0063817541791666666,0.0029118160532407406
2863762,954587,0.0024637176062500001,0.0014079603960459185,0.025625086233333334,0.010969967788235294,0.0087456249333333329,0.0041193568142857146
3780165,1260055,0.003339604133333333,0.0022545562777777774,0.035210426066666668,0.015188746375641028,0.011537833933333335,0.0054334112714285697
4989817,1663272,0.0044744420030303029,0.0029598292503987241,0.04933383483333334,0.02197014063333334,0.0148388913,0.006990562446153847
