N,K,T2,D2
100,0,8.8533333333333279e-08,1.1146025641025635e-07
100,10,1.4368505747126438e-07,1.4589787798408489e-07
100,20,2.1446904761904762e-07,1.753357142857143e-07
100,30,2.410666666666666e-07,1.6929615384615379e-07
100,40,2.995e-07,1.9462549019607843e-07
100,50,3.7406666666666669e-07,2.2685833333333335e-07
100,60,2.9443333333333334e-07,1.9554242424242419e-07
100,70,2.8302592592592592e-07,2.0446801346801347e-07
100,80,2.0243563218390802e-07,1.5373103448275865e-07
100,90,1.208333333333333e-07,1.2903018867924525e-07
132,0,1.3828571428571426e-07,1.4244642857142854e-07
132,13,1.9347816091954024e-07,1.6559972954699124e-07
132,26,2.7375172413793104e-07,2.0194827586206902e-07
132,39,3.4503333333333333e-07,2.2396981132075472e-07
132,52,4.5178333333333336e-07,2.7097549019607845e-07
132,65,5.4890967741935479e-07,3.172096774193548e-07
132,78,4.1446666666666666e-07,2.4504779874213834e-07
132,91,3.6312183908045975e-07,2.366448275862068e-07
132,104,2.5239999999999996e-07,1.8226792452830185e-07
132,117,1.6996666666666663e-07,1.451937106918239e-07
132,130,1.1809462365591403e-07,1.2461212121212113e-07
174,0,1.9054074074074071e-07,1.6388888888888888e-07
174,17,2.345635775862069e-07,1.7601875000000003e-07
174,34,3.7782528735632171e-07,2.3728683385579945e-07
174,51,5.0448709677419361e-07,3.0079526003949969e-07
174,68,5.7439999999999996e-07,3.0545555555555547e-07
174,85,7.3415714285714288e-07,3.9544285714285707e-07
174,102,6.0080229885057471e-07,3.4064761904761894e-07
174,119,4.9666666666666675e-07,2.9697619047619038e-07
174,136,3.677666666666667e-07,2.4304761904761902e-07
174,153,2.5363333333333329e-07,1.9107564102564099e-07
174,170,1.5336666666666666e-07,1.4143270440251573e-07
229,0,2.1929999999999999e-07,1.8301515151515151e-07
229,22,3.3811505376344087e-07,2.3572485768500951e-07
229,44,4.8332365591397855e-07,2.7865570719602981e-07
229,66,6.7124252873563216e-07,3.6718152244632405e-07
229,88,7.9235913978494621e-07,4.0787965260545908e-07
229,110,9.7759999999999997e-07,5.007641025641025e-07
229,132,8.580390804597703e-07,4.6119164456233432e-07
229,154,1.1770325581395348e-06,5.1044744186046525e-07
229,176,4.7250080515297911e-07,4.3227233115468413e-07
229,198,3.6506000000000001e-07,2.5034705882352946e-07
229,220,2.3519770114942528e-07,1.8662334217506632e-07
302,0,2.8143333333333337e-07,2.0605578231292521e-07
302,30,4.7901666666666669e-07,2.7972916666666667e-07
302,60,1.3453265086206897e-06,7.3114347290640404e-07
302,90,1.0926259259259259e-06,5.3541429801894895e-07
302,120,1.5812379310344826e-06,1.0972700065061806e-06
302,150,1.3841333333333334e-06,6.823745098039216e-07
302,180,1.1433333333333333e-06,5.7203725490196083e-07
302,210,9.5120476190476185e-07,5.2147338935574233e-07
302,240,6.6506666666666669e-07,3.7568846153846162e-07
302,270,4.5573333333333328e-07,2.845823529411764e-07
302,300,2.7309999999999998e-07,2.0534666666666668e-07
398,0,3.7226666666666666e-07,2.5031764705882355e-07
398,39,6.6963655913978486e-07,4.0145424621461473e-07
398,78,9.0106666666666685e-07,4.7200256410256434e-07
398,117,1.2186333333333333e-06,6.2652692307692308e-07
398,156,1.5357333333333334e-06,7.5141176470588255e-07
398,195,1.913932183908046e-06,9.4873022312373199e-07
398,234,1.5900999999999998e-06,7.4118039215686258e-07
398,273,1.2860999999999998e-06,6.3307692307692283e-07
398,312,9.6322643678160909e-07,5.0647142857142881e-07
398,351,6.5010000000000003e-07,3.744858974358974e-07
398,390,3.8608390804597696e-07,2.6757493368700254e-07
525,0,5.2292873563218384e-07,3.4510206896551716e-07
525,52,8.1486666666666662e-07,4.4993333333333322e-07
525,104,1.2256666666666666e-06,6.14078431372549e-07
525,156,1.6566666666666668e-06,7.8822352941176489e-07
525,208,2.0992333333333331e-06,9.8874117647058803e-07
525,260,2.5093666666666662e-06,1.1701076923076919e-06
525,312,2.1090666666666669e-06,9.9488589743589753e-07
525,364,1.6930666666666665e-06,8.2056274509803908e-07
525,416,1.2482e-06,6.2367999999999993e-07
525,468,8.1430000000000019e-07,4.4443589743589768e-07
525,520,4.6986666666666664e-07,3.0863137254901958e-07
693,0,6.2486666666666674e-07,4.2696666666666675e-07
693,69,1.1040666666666667e-06,6.2020128205128213e-07
693,138,1.6779333333333333e-06,8.4728431372548994e-07
693,207,2.2889870967741934e-06,1.1291040779062687e-06
693,276,2.8994999999999999e-06,1.3786523809523815e-06
693,345,3.5733321839080457e-06,1.7032066666666663e-06
693,414,2.8773999999999998e-06,1.3875320512820511e-06
693,483,3.0064333333333331e-06,1.5970444444444443e-06
693,552,2.1659404761904767e-06,1.0666706349206349e-06
693,621,1.4974692307692309e-06,9.0250836120401337e-07
693,690,6.1123333333333316e-07,4.144871794871793e-07
914,0,9.7724867374005289e-07,4.5335384615384601e-07
914,91,1.7417407407407407e-06,7.2543386243386223e-07
914,182,3.0714333333333329e-06,1.4028560975609753e-06
914,273,4.6404578754578752e-06,2.1925445887445883e-06
914,364,5.4155064102564107e-06,2.877433333333334e-06
914,455,6.9026142857142866e-06,3.3049172413793116e-06
914,546,5.3670939153439156e-06,3.6085027472527476e-06
914,637,4.006642468239564e-06,1.6826681992337162e-06
914,728,3.7155101419878298e-06,2.1064618226600986e-06
914,819,1.9238422360248448e-06,1.0899904200442152e-06
914,910,6.7021351351351367e-07,3.9276666666666688e-07
1206,0,1.4138987012987011e-06,9.7078012422360229e-07
1206,120,1.8872809523809523e-06,1.025213725490196e-06
1206,240,3.0601999999999999e-06,1.5956848484848483e-06
1206,360,4.2175333333333333e-06,2.0403910256410251e-06
1206,480,5.3141402298850577e-06,2.4475871794871797e-06
1206,600,6.5417666666666664e-06,2.9727745098039218e-06
1206,720,5.2752666666666659e-06,2.4550846153846146e-06
1206,840,4.2404666666666669e-06,1.9812823529411768e-06
1206,960,3.0911333333333333e-06,1.4820411764705885e-06
1206,1080,1.9842e-06,1.0267019607843137e-06
1206,1200,1.0460333333333332e-06,6.4721666666666652e-07
1591,0,3.2645666666666662e-06,1.8047222222222218e-06
1591,159,3.2840526315789473e-06,2.1074488579940419e-06
1591,318,4.8943570234113715e-06,9.7941711956521688e-07
1591,477,8.9085990338164253e-06,5.2353291404612161e-06
1591,636,1.0196333333333333e-05,4.7786379310344826e-06
1591,795,1.1298079710144927e-05,5.3069833333333318e-06
1591,954,8.7583874643874652e-06,3.6843425925925927e-06
1591,1113,5.6577999999999994e-06,2.6305786163522007e-06
1591,1272,4.1559333333333329e-06,2.0553487179487176e-06
1591,1431,2.5953666666666663e-06,1.3621512820512819e-06
1591,1590,1.3809999999999996e-06,8.5336666666666623e-07
2100,0,1.8437333333333334e-06,9.1227777777777794e-07
2100,210,3.6210178571428576e-06,1.0068952702702705e-06
2100,420,5.3358574712643679e-06,2.6621910256410261e-06
2100,630,7.7041999999999982e-06,3.6365615384615365e-06
2100,840,1.1405436842105263e-05,5.6655285087719298e-06
2100,1050,1.6698994482758619e-05,7.9515281818181801e-06
2100,1260,1.8281665667166415e-05,1.1856448275862068e-05
2100,1470,1.1589342891278373e-05,6.7679547146401961e-06
2100,1680,6.6286995841995846e-06,4.0356476923076929e-06
2100,1890,4.3328200000000008e-06,2.1406930769230778e-06
2772,0,2.4768333333333336e-06,1.4957980392156863e-06
2772,277,5.0155298850574707e-06,2.7018388594164452e-06
2772,554,7.5608999999999999e-06,3.6756230769230765e-06
2772,831,1.0406833333333333e-05,4.8739499999999993e-06
2772,1108,1.3248166666666668e-05,5.1941272727272724e-06
2772,1385,1.6670297235023044e-05,5.0506964285714321e-06
2772,1662,1.5196996470588234e-05,6.3693625531914866e-06
2772,1939,1.220412777777778e-05,6.023871929824563e-06
2772,2216,7.5465000000000014e-06,3.6642190476190453e-06
