N,K,T1,D1,T3,D3
100,50,2.4600290000000002e-05,1.0047736237874692e-05,1.7355990000000004e-05,2.3105790940584234e-06
132,66,3.5281349999999994e-05,1.6138353740313815e-05,1.1927479999999999e-05,2.2175784968293677e-06
174,87,5.1544019999999994e-05,2.9428705786690641e-05,2.2195749999999998e-05,2.3986639338390238e-06
229,114,7.4716759999999952e-05,4.9071163902870766e-05,2.9001800000000001e-05,3.8604818533442349e-06
302,151,0.00011546591999999999,7.294117536929056e-05,4.8391499999999979e-05,2.1567746683419322e-06
398,199,0.00017193695999999999,0.00013198897725377829,6.3807430000000011e-05,7.3112132307229878e-06
525,262,0.00021305574000000008,0.00017807663588340937,9.7420090000000032e-05,5.7966659160152334e-06
693,346,0.00023413727999999998,0.0001956149386514782,6.7007929999999988e-05,2.8225701948931738e-06
914,457,0.00037169785000000012,0.00025866138415605726,0.00012511842000000002,2.1721776200476809e-05
1206,603,0.00035051324000000007,0.00031288147909446862,0.00010726552999999994,1.9019768262760692e-05
1591,795,0.00050493845999999992,0.00040394369458780788,0.00017927687999999995,6.8993667670026552e-06
2100,1050,0.00056871288999999999,0.0003524337992521686,0.00024284998000000002,2.2985243452258303e-05
2772,1386,0.00078477186999999975,0.00055507677356611996,0.00037726766999999979,1.3524198141155719e-05
3659,1829,0.0010894182900000001,0.0007430048440265416,0.00026413993000000006,4.1562693783086876e-06
4829,2414,0.0014852997400000001,0.0011357420594256661,0.00047112041000000015,2.1177691534770613e-05
6374,3187,0.0017294439100000003,0.0011011764371576787,0.00058146229000000018,6.8406379212216989e-05
8413,4206,0.0027061251700000004,0.002079294242404077,0.00093958761999999988,1.4966378096783947e-05
11105,5552,0.0037772096199999989,0.0034453941273763131,0.0012554352500000001,0.00010912439790233622
14658,7329,0.0044624624600000003,0.0033810806579038354,0.0019462216399999991,3.1700400898309637e-05
19348,9674,0.0051506163800000004,0.0039743221458681888,0.0018277554999999994,3.7931271509017085e-05
25539,12769,0.0079177878299999949,0.0062836521008725133,0.0023335322000000002,4.8555064694418752e-05
33711,16855,0.0091047766700000018,0.0063439789410814351,0.003753624400000002,0.00011312537220564919
44498,22249,0.012947062049999996,0.0083560920342809347,0.00493025189,0.00014143707484930252
58737,29368,0.018473185719999993,0.015533217237248072,0.0075360035599999989,0.00015868798627027443
77532,38766,0.020527457090000013,0.014186796358099371,0.010582809529999997,0.00023910441111542642
102342,51171,0.030423976330000001,0.021241667710950408,0.0097527406900000009,0.00018823278136709782
135091,67545,0.038935777909999997,0.028333735565146973,0.012017222729999999,0.00030808714827401835
178320,89160,0.055126128579999996,0.034700816009635586,0.019345382620000007,0.00071221481192995022
235382,117691,0.084479586050000041,0.065469672682919922,0.02457557467000001,0.00032950777236593124
310704,155352,0.10859012057999999,0.10573299409213552,0.039737783330000005,0.000729086423616614
410129,205064,0.11733465143000001,0.085400916814599825,0.02826457046999999,0.00043820072657207662
541370,270685,0.17192551505999995,0.12893303588493618,0.056371223400000003,0.0049440509373548788
714608,357304,0.21947102184000003,0.19889387522003918,0.063159941519999985,0.00054430439485990639
943282,471641,0.28046974555000004,0.20054086190971623,0.10152701442999998,0.0018351701101934272
1245132,622566,0.36582047646999988,0.28672996284430124,0.16030972218999998,0.0026086608611177505
1643574,821787,0.40964905424999998,0.31215037775028814,0.22621461339999999,0.014463745630247897
2169517,1084758,0.7593694435499998,0.71640698718928042,0.16330147553000007,0.018567578966141026
2863762,1431881,0.90904260407000015,0.71779183408656844,0.30723736371999993,0.035737078530625306
3780165,1890082,1.1563805571799999,0.82392713641545801,0.36752413466000022,0.041749445995727115
4989817,2494908,1.6955774941700001,1.3693712605886301,0.59425405257999986,0.067388269754035002
