N,K,T1,D1,T2,D2,T3,D3
100,1,5.1190999999999992e-05,1.2788e-05,4.3415000000000007e-06,2.3595e-06,9.8310000000000013e-06,1.473000000000001e-06
132,1,8.9850999999999991e-05,2.4916000000000017e-05,2.0770000000000006e-06,6.8949999999999907e-07,1.8504999999999996e-05,9.1699999999999817e-07
174,1,0.00010552200000000001,5.8722000000000011e-05,3.0915000000000008e-06,6.2800000000000144e-07,2.1148000000000001e-05,1.4850000000000036e-06
229,1,0.00016468200000000001,0.000103139,5.1399999999999982e-06,6.2800000000000144e-07,2.9199000000000003e-05,9.4700000000000296e-07
302,1,0.00023610900000000003,0.00014471100000000003,1.3389e-05,5.863499999999999e-06,3.7963999999999998e-05,7.1580000000000016e-06
398,1,0.00035101700000000002,0.00021870400000000001,9.115e-06,1.079000000000001e-06,3.9040999999999994e-05,2.0049999999999918e-06
525,1,0.00044575800000000004,0.00024260100000000003,2.5498000000000002e-05,1.0318999999999997e-05,5.1012999999999994e-05,2.5049999999999904e-06
693,1,0.00038828400000000002,0.00028920999999999992,1.4593000000000001e-05,2.8599999999999963e-06,6.4855000000000002e-05,5.8609999999999969e-06
914,1,0.00039101300000000001,0.00026869700000000003,7.4510000000000003e-06,6.1699999999999765e-07,8.2640000000000008e-05,1.0809999999999986e-06
1206,1,0.00051516500000000005,0.00039377000000000005,2.5691999999999997e-05,9.5810000000000019e-06,0.000105413,1.517000000000006e-06
1591,1,0.001000653,0.00059932400000000004,1.7552999999999999e-05,1.481999999999997e-06,0.00011684799999999999,3.3070000000000007e-06
2100,1,0.001118843,0.00070981899999999999,2.2884e-05,1.9009999999999942e-06,0.000147169,7.0979999999999785e-06
2772,1,0.0014374969999999998,0.0010195769999999998,2.8090000000000004e-05,1.3920000000000029e-06,0.000181905,4.1680000000000048e-06
3659,1,0.0024549179999999999,0.001805936,8.0581000000000007e-05,3.9334e-05,0.00038946399999999996,7.9489999999999335e-06
4829,1,0.0023889230000000003,0.0016128980000000002,5.2237999999999997e-05,8.0269999999999962e-06,0.00045231100000000005,1.0016000000000061e-05
6374,1,0.003543039,0.0023081379999999999,6.2780000000000005e-05,2.6400000000000154e-06,0.00056632099999999995,1.4201000000000036e-05
8413,1,0.0056496570000000006,0.0033738060000000005,8.2924999999999996e-05,4.1460000000000108e-06,0.00061405399999999995,1.5405999999999927e-05
11105,1,0.008186268,0.0049743130000000002,0.00010807899999999999,5.5370000000000115e-06,0.00082651300000000007,4.6402000000000075e-05
14658,1,0.0075639880000000007,0.0048740679999999988,0.00014026899999999999,4.5450000000000048e-06,0.000975278,3.0958999999999891e-05
19348,1,0.013651122,0.008889786999999998,0.000186219,8.9629999999999614e-06,0.0020035470000000001,5.814699999999993e-05
25539,1,0.016987519999999999,0.012105610999999999,0.00025064799999999996,2.0681999999999949e-05,0.0025666400000000002,0.00010920700000000005
33711,1,0.015774610999999997,0.010496406,0.00033502799999999991,3.244700000000001e-05,0.0028360830000000001,0.00010198399999999984
44498,1,0.025811006000000001,0.015766308999999999,0.00043953899999999997,3.9965000000000096e-05,0.0032359159999999997,0.00016007599999999988
58737,1,0.040150305999999997,0.029644816999999997,0.00057607000000000014,5.0593000000000036e-05,0.0042852110000000006,0.00025688400000000063
77532,1,0.037715937000000005,0.029302898000000004,0.00072539700000000024,4.2064999999999984e-05,0.0054242209999999999,0.00038925900000000031
102342,1,0.055252612999999999,0.031877675000000001,0.001046001,0.00014157699999999994,0.010576705,0.00064369300000000074
135091,1,0.066634288999999999,0.054015780999999999,0.0013081499999999997,0.00013214899999999981,0.013329556000000001,0.00065198300000000008
178320,1,0.106541463,0.068415293000000016,0.0018932300000000005,0.00029709600000000017,0.015755881999999999,0.000913528999999998
235382,1,0.136907048,0.093130528000000018,0.0024180769999999994,0.0004033449999999994,0.017882228999999999,0.00080759400000000175
310704,1,0.21668974299999999,0.15869482000000001,0.003253050999999999,0.00050437599999999909,0.022009500999999997,0.0006943869999999977
410129,1,0.201082967,0.13712096300000001,0.0038830440000000004,0.00054455800000000054,0.045253962000000002,0.0015946589999999983
541370,1,0.31288756500000003,0.25909085600000004,0.0062060500000000011,0.0012489650000000012,0.055216075000000003,0.0024389779999999944
714608,1,0.44212924199999998,0.29892937099999994,0.0087677500000000012,0.0011517360000000004,0.071020543999999991,0.0031379469999999882
943282,1,0.43991517699999999,0.29876108099999998,0.010079234000000003,0.0010623180000000031,0.077518068000000009,0.0031203669999999989
1245132,1,0.78787807700000001,0.50995978499999994,0.014432644000000001,0.0016561239999999949,0.095025228000000003,0.0031249390000000071
1643574,1,0.91454133000000004,0.61479445700000002,0.017916195999999995,0.0018844220000000036,0.11546833300000001,0.0031268660000000059
2169517,1,1.1487534270000002,0.83467157300000017,0.024072228999999994,0.0016419649999999952,0.24687273999999998,0.0062677369999999955
2863762,1,1.4346359050000002,1.0912540160000002,0.031747774000000006,0.0022742030000000024,0.29265641600000003,0.0053484549999999187
3780165,1,2.568017555,2.1551449890000001,0.043550524999999993,0.002399546999999988,0.37008376399999998,0.0063415620000000228
4989817,1,2.5275737920000001,1.7936408039999998,0.05690050599999999,0.0030444469999999779,0.39280385900000003,0.0065874120000000147
