N,K,T1,D1,T2,D2,T3,D3
100,1,1.4990000000000004e-06,4.0499999999999951e-07,2.356e-06,8.7999999999999835e-08,8.9060000000000008e-06,1.1119999999999988e-06
132,1,2.0804999999999998e-06,5.8950000000000003e-07,3.1114999999999998e-06,1.0600000000000034e-07,1.2155000000000001e-05,7.4500000000000049e-07
174,1,2.4335000000000005e-06,7.1799999999999889e-07,4.6829999999999999e-06,2.48e-07,1.6603999999999999e-05,7.650000000000003e-07
229,1,4.3190000000000005e-06,1.4399999999999998e-06,6.0499999999999997e-06,1.4300000000000016e-07,2.2294999999999999e-05,1.1229999999999992e-06
302,1,8.2920000000000012e-06,2.3010000000000013e-06,7.9950000000000005e-06,8.6199999999999954e-07,2.6621000000000001e-05,1.4650000000000004e-06
398,1,7.4939999999999989e-06,1.8559999999999988e-06,1.0420000000000002e-05,2.1199999999999729e-07,3.5911999999999998e-05,2.3909999999999979e-06
525,1,9.696e-06,2.8130000000000017e-06,1.3666000000000001e-05,2.600000000000009e-07,4.7301e-05,2.6819999999999991e-06
693,1,1.0955000000000001e-05,3.3199999999999987e-06,1.8808e-05,7.0500000000000087e-07,7.4858000000000007e-05,8.2989999999999963e-06
914,1,1.8604999999999999e-05,6.5620000000000026e-06,2.351e-05,3.4599999999999974e-07,8.7361000000000006e-05,3.6149999999999984e-06
1206,1,1.9437999999999999e-05,5.1919999999999987e-06,3.2614999999999999e-05,4.3199999999999857e-07,0.000116173,5.9070000000000097e-06
1591,1,2.4605999999999998e-05,8.290000000000007e-06,4.2353999999999995e-05,4.3799999999999818e-07,0.00014135100000000001,5.1900000000000232e-06
2100,1,3.5785999999999999e-05,9.1400000000000107e-06,5.5687000000000011e-05,6.0499999999999844e-07,0.00019064600000000002,6.8200000000000194e-06
2772,1,4.2753999999999998e-05,1.5091999999999997e-05,7.2781000000000007e-05,5.8900000000000402e-07,0.00024477899999999998,1.0597000000000048e-05
3659,1,6.7186000000000004e-05,1.9403000000000011e-05,9.5325999999999988e-05,8.76999999999985e-07,0.00035005700000000003,7.4300000000000017e-06
4829,1,7.4970999999999984e-05,2.9057000000000003e-05,0.00012506400000000001,8.2300000000000212e-07,0.00047362199999999999,1.2714000000000041e-05
6374,1,0.000119271,4.6792999999999997e-05,0.00016567200000000001,3.552999999999998e-06,0.00060418199999999998,5.2127000000000011e-05
8413,1,0.000131197,5.0669000000000012e-05,0.00021643800000000003,1.1420000000000375e-06,0.00073745499999999992,1.3786000000000007e-05
11105,1,0.000168443,6.7678999999999987e-05,0.00028786700000000003,2.708000000000029e-06,0.00099042899999999992,1.8978999999999914e-05
14658,1,0.000259213,7.0509999999999974e-05,0.00037838800000000001,1.9530000000000675e-06,0.001248669,4.238600000000016e-05
19348,1,0.00031120099999999999,0.00010240600000000001,0.000498987,2.0960000000000423e-06,0.0018486350000000002,2.4404000000000006e-05
25539,1,0.00035620000000000004,0.00015857199999999989,0.00065661100000000009,2.504000000000178e-06,0.0025174849999999999,2.5192999999999743e-05
33711,1,0.00052243199999999997,0.00018005000000000001,0.00086698299999999999,3.5849999999999597e-06,0.0027799130000000002,3.4348000000000017e-05
44498,1,0.00081758600000000014,0.00021176499999999983,0.0011397250000000001,3.4410000000000777e-06,0.0038588389999999998,3.6450000000000371e-05
58737,1,0.00089194700000000003,0.00034709499999999996,0.001505382,4.3499999999997534e-06,0.0051660630000000003,6.7964000000000219e-05
77532,1,0.0013665370000000001,0.00034480999999999965,0.00266073,5.0660000000001849e-06,0.0085940580000000016,0.00054849999999999691
102342,1,0.0020455949999999999,0.00089882500000000001,0.00326626,7.1239999999998457e-06,0.012200196999999999,0.00010927399999999948
135091,1,0.0018130119999999999,0.00067048200000000002,0.0031381889999999996,8.3159999999995321e-06,0.012846330000000001,0.00010286099999999923
178320,1,0.0028025760000000002,0.00089414100000000021,0.0046008530000000002,1.0809999999999986e-05,0.014489259999999999,0.0001498529999999984
235382,1,0.0038738030000000003,0.0013467079999999994,0.0060691220000000006,1.1490000000001152e-05,0.025447327999999998,0.00034842700000000185
310704,1,0.005792312,0.0015786189999999999,0.0072764290000000001,2.3367999999999306e-05,0.026356243000000001,0.00016995399999999994
410129,1,0.0071129650000000006,0.0017963490000000009,0.010585967,2.9668000000000055e-05,0.038728238000000005,0.00019362700000000177
541370,1,0.0074566919999999991,0.0029786860000000012,0.013992660999999998,4.304200000000008e-05,0.052227643000000004,0.00017552900000000066
714608,1,0.010956196000000001,0.0032239490000000011,0.018579269000000002,6.9892999999997957e-05,0.069977211999999997,0.00056160400000000721
943282,1,0.018243852999999997,0.0068402529999999993,0.025484426999999997,0.00066361399999999987,0.077075969999999994,0.00070488600000000179
1245132,1,0.017760556,0.0069575979999999989,0.033321306000000002,6.4556999999999809e-05,0.10790991899999999,0.00061839999999999118
1643574,1,0.024619320999999996,0.010388518000000003,0.040000128999999995,7.2095000000008125e-05,0.13952192799999999,0.00056316300000000541
2169517,1,0.032602022999999994,0.016298192999999999,0.058758690999999988,0.00010602500000000958,0.206393876,0.0010800529999999975
2863762,1,0.049422153999999996,0.015677296000000007,0.077457078999999998,0.00015075600000000189,0.27779233800000003,0.0009281939999999933
3780165,1,0.058054129000000003,0.024025007999999994,0.102472801,0.00014441099999998319,0.37642303199999999,0.00063963200000000109
4989817,1,0.086104322000000011,0.026496643000000007,0.135597364,0.00036390099999999981,0.42871936300000002,0.00059253300000000619
