N,T1,D1,T2,D2,T3,D3
100,1.9329000000000001e-07,1.1889999999999983e-08,4.1969000000000002e-07,1.632000000000003e-08,2.2711999999999998e-07,4.9600000000000391e-09
131,1.8619847328244275e-07,4.5572519083969006e-09,4.3983969465648855e-07,7.7404580152671954e-09,2.3980152671755728e-07,1.5442748091603067e-08
171,2.0026900584795319e-07,1.3298245614035101e-08,4.5965497076023393e-07,7.3567251461987992e-09,2.4008187134502926e-07,2.4736842105263512e-09
224,2.0649107142857145e-07,7.1116071428571572e-09,4.8297767857142854e-07,6.4107142857142304e-09,2.4959821428571432e-07,1.5504464285714265e-08
293,2.1507849829351536e-07,5.9590443686007152e-09,5.1538566552901025e-07,1.1805460750853249e-08,2.6499999999999995e-07,4.4197952218428854e-09
383,2.2128459530026111e-07,1.6503916449086188e-08,5.1860835509138376e-07,1.6582245430809372e-08,2.8495300261096603e-07,3.1655352480417746e-08
501,2.4066067864271458e-07,1.0475049900199576e-08,5.4044910179640724e-07,1.8842315369261481e-08,2.8223752495009985e-07,1.964071856287361e-09
656,2.48265243902439e-07,6.2759146341462791e-09,5.7400762195121952e-07,9.6509146341463738e-09,2.8583231707317073e-07,1.9039634146341816e-09
859,2.6833993015133873e-07,1.2426076833527397e-08,5.9187776484284058e-07,6.2444703143189949e-09,2.959266589057043e-07,2.1990686845168787e-09
1125,2.6595288888888883e-07,2.1768888888889456e-09,6.1748977777777772e-07,5.3475555555554665e-09,3.0564533333333335e-07,1.9804444444444784e-09
1473,2.3021995926680242e-07,1.7537678207739282e-08,4.6726476578411406e-07,3.9409368635437649e-09,2.4630346232179225e-07,1.9864222674813292e-09
1929,2.4061793675479521e-07,3.4950751684810471e-09,6.9154639709694147e-07,2.4344219803006845e-08,3.4151684810782788e-07,6.9134266459305311e-09
2526,3.4094299287410924e-07,2.5708234362628658e-08,5.1793982581155973e-07,2.163499604117187e-08,3.423147268408551e-07,2.3626286619160472e-09
3309,3.6015261408280447e-07,8.7262012692656158e-09,7.3928528256270785e-07,6.1208824418252772e-09,3.6253822907222724e-07,6.8111211846478714e-09
4334,3.9317097369635442e-07,1.4592985694508574e-08,7.8333248730964463e-07,6.4011075219197076e-08,6.4581125980618372e-07,2.9773696354407019e-07
5677,4.7795719570195522e-07,9.5203452527743012e-09,9.0089025893958077e-07,2.2612823674475963e-08,4.4521842522459043e-07,1.5328342434384369e-08
7436,4.1253536847767623e-07,2.3639053254437869e-08,9.3508875739644968e-07,3.9192038730500381e-08,4.6532894029047874e-07,1.447431414739112e-08
9741,5.1473637203572535e-07,3.7923621804742833e-08,1.3338976491120007e-06,4.5106867878041274e-07,4.5950477363720357e-07,1.226434657632685e-08
12760,6.5687178683385571e-07,2.185305642633235e-08,1.1999617554858933e-06,1.9196394984325773e-08,6.1445101880877743e-07,4.2532131661441463e-09
16715,6.9784594675441225e-07,4.0335925815136165e-08,8.6114950643134921e-07,4.5698474424170822e-09,4.5031073885731385e-07,1.8950044869877421e-09
21896,5.2075963646328093e-07,5.8834947022287134e-09,1.0922343350383632e-06,1.2065208257215931e-07,5.224137285348922e-07,7.4534070149799061e-08
28683,4.7742882543666976e-07,3.4619530732489599e-08,7.6749977338493188e-07,9.3979709235436462e-09,4.0378269358156404e-07,2.6905832723216519e-09
37574,4.852883376803109e-07,9.5313780805876965e-09,8.1000423164954486e-07,2.3372917442912757e-08,4.1487286421461652e-07,4.6604833129291707e-09
49221,5.3937998008979903e-07,6.4617744458665986e-09,8.602680563174256e-07,3.6747932792914342e-09,4.7250153389813294e-07,2.5720708640620834e-08
64479,6.1070263186463805e-07,1.1085097473596057e-08,9.631395648195536e-07,1.6998418089610777e-08,4.9582927774934462e-07,9.2084554661208759e-09
84467,6.9004954597653518e-07,1.196373731753223e-08,1.0349886819704736e-06,1.3388956633951765e-08,5.4934547219624236e-07,7.450815111226883e-09
110651,7.6983696487153313e-07,1.4300756432386502e-08,1.1601525246043867e-06,9.4618123650034792e-09,6.1580744864483836e-07,7.9351203333002482e-09
144952,8.4890571361554171e-07,1.9784356200673125e-08,1.2629234436227164e-06,1.7709890170539221e-08,6.7914336470003859e-07,4.8599881340029032e-09
189887,9.2923433937025703e-07,1.2589908735195077e-08,1.3526916639896359e-06,1.4614028343172325e-08,7.5533386171775857e-07,8.5377040029071015e-09
248751,1.0007325035879254e-06,9.9216927771146347e-09,1.4585834710212222e-06,1.2942356010629236e-08,8.2562771606948321e-07,1.1676041503350753e-08
325863,1.0865341232358384e-06,2.0946483644967348e-08,1.5488908406293443e-06,6.9405885295352963e-09,8.9484444076191529e-07,1.2665678521341909e-08
426880,1.1612334941904047e-06,1.0722575431034529e-08,1.6350257332271364e-06,8.6937734257871394e-09,9.5905673959895049e-07,9.6808541041979621e-09
559212,1.2442085613327327e-06,8.5064429947856412e-09,1.7292050635537149e-06,1.6865990000214594e-08,1.0190161065928486e-06,4.3484599758230671e-09
732567,1.3239940892778408e-06,9.0055052984914451e-09,1.8268991914732714e-06,2.0187606048320657e-08,1.0852336113966368e-06,1.1400076716532349e-08
959662,1.4176322746967161e-06,1.2892630947145958e-08,1.9474633777309094e-06,4.1824674729227712e-08,1.1535505490474772e-06,3.3864485620978519e-09
