N,T1,D1,T2,D2,T3,D3
100,2.8896000000000003e-05,9.8570000000000041e-06,5.3295000000000004e-05,8.5010000000000055e-06,3.0840999999999998e-05,6.4709999999999995e-06
131,3.2461e-05,2.647999999999999e-06,6.5983000000000008e-05,2.6600000000001406e-07,3.9478999999999999e-05,2.6929999999999961e-06
171,4.4603999999999995e-05,1.9029999999999986e-06,9.1249999999999995e-05,2.1319999999999992e-06,5.3410999999999994e-05,2.4719999999999994e-06
224,6.1883000000000004e-05,3.0570000000000082e-06,0.00011731199999999999,2.8919999999999987e-06,6.9058000000000002e-05,3.2400000000000029e-06
293,9.3213000000000004e-05,1.5817000000000001e-05,0.00016601799999999998,6.9469999999999862e-06,8.9393000000000003e-05,3.2590000000000039e-06
383,0.00010693400000000002,6.9830000000000109e-06,0.000208001,2.0200000000000925e-07,0.00011586699999999999,6.6899999999999783e-06
501,0.00013856799999999999,8.4390000000000051e-06,0.00027550799999999999,2.2900999999999976e-05,0.00014818699999999998,5.0709999999999926e-06
656,0.00017974000000000001,7.7780000000000058e-06,0.00035824700000000001,1.3353999999999981e-05,0.00020232799999999999,5.5140000000000018e-06
859,0.00026021399999999999,3.3011999999999988e-05,0.00045568599999999996,9.7610000000000036e-06,0.000258855,5.6860000000000265e-06
1125,0.00033108500000000001,7.9939999999999916e-06,0.00065048799999999996,4.2091999999999976e-05,0.00034991000000000004,7.2750000000000007e-06
1473,0.000460409,2.7627000000000012e-05,0.00083511199999999994,3.5018999999999957e-05,0.00046960300000000002,1.8172000000000002e-05
1929,0.00068914400000000004,1.5027000000000139e-05,0.001337846,5.4383999999999986e-05,0.00068924500000000001,0.00011768499999999997
2526,0.00087002499999999997,0.00011168600000000006,0.0020912000000000001,0.00075288900000000008,0.0021144650000000003,0.00044956400000000017
3309,0.001525139,0.00053531100000000012,0.001680983,5.6879000000000131e-05,0.00089982199999999999,2.4009999999999657e-06
4334,0.0046888800000000003,0.0026246160000000002,0.002975349,0.00032535399999999992,0.001252918,4.983400000000012e-05
5677,0.0065620720000000004,0.0040802740000000001,0.0031350229999999998,0.0001389859999999998,0.0037974970000000004,0.0016828700000000004
7436,0.0045050869999999996,0.00087830599999999971,0.0066268940000000004,0.001922506,0.0025920000000000001,0.00024152900000000031
9741,0.009947296999999999,0.0047564729999999989,0.0059209110000000001,0.00027844000000000046,0.0032874329999999998,0.00012348400000000009
12760,0.0086261889999999994,0.00028036599999999891,0.0079154859999999994,0.00018914699999999889,0.0044597949999999999,5.4048000000000117e-05
16715,0.015037464,0.0015530170000000003,0.016481236,0.00012000900000000078,0.010856653000000001,0.0040691360000000001
21896,0.028184908000000002,0.00095205300000000131,0.015068706000000001,0.00054113000000000078,0.0084210940000000005,0.0001872390000000005
28683,0.038859087,0.0026436420000000016,0.027616821,0.0071419380000000005,0.011885788,0.00048305899999999923
37574,0.068301387999999991,0.0057166929999999949,0.028770919999999998,0.00091574499999999906,0.022722845999999998,0.0066220389999999997
49221,0.13166096100000002,0.021052241000000027,0.03943464,0.00010480000000000211,0.022332306,0.00026784099999999783
64479,0.223741668,0.030059239000000015,0.058091418000000006,0.0023920920000000054,0.031050682,0.00022330799999999845
84467,0.38219597100000002,0.069254704,0.085098291000000006,0.002853012000000002,0.045572894000000003,0.0022400860000000022
110651,0.70406897499999999,0.28326477500000002,0.118883789,0.00056230499999999906,0.066105593000000004,0.0030594150000000098
144952,1.2700199399999998,0.68351997799999986,0.17219150100000002,0.0089002900000000051,0.098515066999999998,0.0045181110000000052
189887,2.3025233809999999,1.5355259399999999,0.23935779799999998,0.0034995419999999944,0.14163615999999998,0.00044194399999999967
248751,2.8286339310000002,1.8562268510000002,0.33754032,0.012861025999999998,0.201499753,3.4943000000009494e-05
325863,3.8749210830000003,2.6051038310000001,0.47528014200000002,0.011808715000000025,0.28935840099999999,0.01365682800000001
426880,4.5990539900000007,3.0046154200000004,0.80266231799999999,0.13913613700000005,0.517065636,0.18162019899999998
559212,5.0976734520000004,3.5509904720000005,0.90253641400000006,0.015732009000000047,0.55925028900000007,0.10664584700000007
732567,5.7922669290000002,3.828880904,1.2741372189999998,0.026829876999999946,0.89657018799999999,0.11637051899999995
959662,7.8456165339999995,5.1153322699999997,1.83857827,0.014489312999999893,1.202194078,0.035664015000000049
