N,T1,D1,T2,D2,T3,D3
500,1.8115000000000012e-06,3.9899999999999906e-07,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
660,-3.9044999999999996e-06,6.4999999999998531e-08,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
871,3.5730000000000012e-06,4.2000000000000614e-08,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
1149,4.758500000000002e-06,6.8500000000001123e-08,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
1516,5.6834999999999973e-06,1.4549999999999378e-07,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
2001,7.4749999999999987e-06,8.1999999999996843e-08,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
2641,1.0202999999999997e-05,4.4999999999999739e-07,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
3486,2.3599000000000002e-05,2.6749999999999973e-06,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
4601,2.0596000000000004e-05,4.8160000000000027e-06,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
6073,2.0319999999999995e-05,1.5429999999999952e-06,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
8016,2.8654999999999881e-06,9.487500000000007e-06,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
10581,2.8709999999999988e-05,9.0400000000000083e-06,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
13966,8.454e-05,1.9481999999999974e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
18435,6.660800000000001e-05,1.2208000000000043e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
24334,9.0137999999999969e-05,3.0547000000000018e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
32120,0.00011315500000000009,3.361200000000003e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
42398,0.00012308999999999996,0.00029948849999999994,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
55965,0.00022219299999999987,2.2904000000000023e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
73873,0.00028328999999999995,9.096600000000005e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
97512,0.00052271900000000005,0.00013301400000000009,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
128715,0.00024651800000000004,0.00010637899999999998,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
169903,0.0015948879999999998,0.00010714800000000005,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
224271,0.00087953499999999987,9.9376999999999452e-05,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
296037,0.00091410699999999994,0.00028653899999999972,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
390768,0.001254074,0.00036322800000000016,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
515813,0.0010335279999999997,0.00032118600000000021,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
680873,0.0021336289999999997,0.00012697599999999913,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
898752,0.0063680730000000001,0.00079421000000000005,6.953177812059605e-310,6.9008110107390825e-310,9.584873529320183e-322,6.9531778120596544e-310
1186352,0.0004277190000000
