N,T1,D1,T2,D2,T3,D3
100,5.8880000000000002e-08,1.9299999999999981e-09,3.8479999999999991e-08,8.4099999999999873e-09,-2.8696666666666663e-08,2.866666666666785e-10
131,7.2839694656488555e-08,7.9694656488549807e-09,6.6984732824427485e-08,4.9465648854962017e-09,1.1335877862595448e-09,5.3435114503817599e-11
171,9.737426900584796e-08,3.0111111111111125e-08,6.7643274853801171e-08,1.9883040935673575e-10,1.6081871345029233e-09,2.2807017543859626e-10
224,8.7120535714285729e-08,1.507142857142859e-08,7.2946428571428571e-08,4.5535714285714682e-10,2.1071428571428567e-09,1.4285714285714236e-10
293,7.7372013651877132e-08,7.8498293515358744e-10,7.731399317406142e-08,2.1331058020477756e-09,2.1211604095563137e-09,1.5187713310580257e-10
383,8.3561357702349874e-08,3.7519582245430867e-09,8.1443864229765013e-08,3.1227154046997486e-09,2.1723237597911245e-09,1.3577023498694642e-10
501,1.014491017964072e-07,1.4387225548902209e-08,8.2455089820359282e-08,2.4750499001996103e-10,2.4810379241516962e-09,1.8063872255489083e-10
656,9.1085365853658543e-08,2.4054878048780568e-09,8.5730182926829273e-08,1.0670731707317649e-10,2.2789634146341465e-09,4.8780487804879192e-11
859,1.1846915017462165e-07,2.1224679860302678e-08,9.0128055878928991e-08,9.2549476135039839e-10,1.1074505238649593e-08,5.2491268917345759e-09
1125,1.1198933333333334e-07,1.7039111111111125e-08,8.559199999999999e-08,1.7564444444444362e-09,-4.9364444444444446e-09,8.3555555555554991e-11
1473,1.0860760353021046e-07,5.0332654446707356e-09,1.2609504412763071e-07,2.7629327902240342e-08,2.6143923964697901e-09,1.2966734555329169e-10
1929,1.12282011404873e-07,6.6080870917573983e-09,1.0352980819077242e-07,5.8242612752721622e-09,-2.0062208398133652e-10,3.5510627268015122e-11
2526,2.4888638163103722e-07,1.220748218527316e-07,1.6929730799683293e-07,5.7010292953285825e-08,3.4615993665874912e-09,1.1215360253364994e-09
3309,1.3044666062254456e-07,1.4669386521607714e-08,1.110462375339982e-07,4.9697793895436661e-09,2.3380175279540636e-09,1.1554850407978247e-09
4334,1.5904776188278726e-07,7.8523304107060424e-09,1.2201776649746195e-07,9.159437009690831e-09,-2.3251038301799718e-09,3.9109367789570918e-11
5677,1.6857442311079795e-07,2.9675709001233052e-08,1.3717491632904704e-07,4.2989254888145051e-09,2.2143737889730489e-09,1.8143385590980207e-11
7436,1.8549327595481442e-07,3.0701721355567517e-08,1.5105137170521784e-07,1.3736820871436252e-08,2.3557019903173735e-09,2.2996234534695502e-11
9741,2.0471594292167129e-07,3.8373370290524586e-08,1.6131208294836259e-07,2.0262704034493391e-08,1.9007288779386108e-09,1.3653628990864146e-11
12760,2.3314067398119123e-07,5.7081818181818173e-08,1.7495791536050157e-07,2.2844122257053306e-08,2.3580721003134789e-09,1.0188087774286425e-12
16715,6.6765599760693989e-07,4.7500634160933298e-07,2.8957959916242895e-07,1.1619892312294345e-07,5.1155249775650603e-09,1.2872270415794194e-09
21896,8.9950698757763969e-07,1.8311865180854948e-07,6.0846401169163319e-07,5.2552521008402954e-09,7.7793660942637926e-09,6.935650347095358e-09
28683,5.6566331973642926e-07,3.0969145486873784e-08,2.3621674859672978e-07,5.204643865704424e-08,-2.5425164731722614e-09,1.5502213854896697e-10
37574,3.9374101772502263e-07,1.3995076382604992e-07,7.8773763772821629e-07,3.9182115292489483e-07,5.9763134082078021e-09,3.5481716080268273e-09
49221,7.7276983401393706e-07,1.9074833912354478e-07,2.9611950183864607e-07,6.2935941975985852e-08,-3.5946953536092311e-09,2.1034416204465573e-09
64479,5.6004714713317514e-07,2.3845867646830757e-07,6.4520153848539843e-07,2.4012664588470672e-07,4.3429953938491592e-09,1.6416507700181458e-09
84467,6.482421655794571e-07,1.3588790888749456e-07,4.2662292966483952e-07,8.9111143997063975e-08,1.4515372867510395e-09,1.3749630033030667e-09
110651,1.1062514753594636e-06,6.8591822035047141e-07,8.8004841348022153e-07,4.9482253210544851e-07,1.0937967121851587e-08,2.9987437980677957e-09
144952,1.1575530796401569e-06,5.4872867569954204e-07,5.2082866742093934e-07,1.3859577653292122e-07,-1.9249958606987129e-09,2.5619515425796195e-10
189887,7.9053231658828673e-07,2.0654964794851676e-07,7.041308199086826e-07,2.7684158999826224e-07,1.0040650492134798e-08,7.1311464186595202e-09
248751,1.1685494168867662e-06,5.6528255564801752e-07,7.1080540781745589e-07,2.1428445714791086e-07,3.6488496528657182e-09,5.9416444557006868e-10
325863,1.2344506924689209e-06,5.8391879409444949e-08,7.1601569064300024e-07,1.8328612024071464e-07,4.045697118114054e-09,1.4596839776224976e-09
426880,1.061205561281859e-06,3.0240855744002988e-07,7.6766289823838076e-07,1.9343236272488751e-07,4.5374672038980518e-09,2.2953288980509845e-10
559212,1.2590688826420035e-06,4.3549026666094431e-07,1.0380590920795691e-06,3.8412458960108147e-07,2.7716572605738079e-09,2.4465497879158532e-10
732567,1.2402504617325105e-06,3.1463676769496839e-07,9.2560417545425877e-07,1.6419846239320083e-07,1.5995670020626108e-09,2.037001393729171e-10
959662,1.5352244957078639e-06,2.6320654980607744e-07,1.3740872536372182e-06,7.0491713749216006e-08,2.6793996219502276e-09,6.3192040530935859e-11
