N,T1,D1,T2,D2,T3,D3
100,8.7449999999999979e-08,2.5800000000000006e-09,8.6999999999999985e-08,1.1700000000000164e-09,7.7370000000000011e-08,1.7100000000000332e-09
131,8.9152671755725206e-08,1.9007633587786311e-09,8.5297709923664141e-08,1.9236641221374096e-09,7.9045801526717576e-08,1.4198473282442952e-09
171,9.1865497076023403e-08,4.7368421052632003e-10,8.5847953216374279e-08,7.6608187134502728e-10,8.5438596491228081e-08,1.8011695906432822e-09
224,9.5379464285714271e-08,1.1116071428571299e-09,8.5558035714285704e-08,6.2946428571429897e-10,8.417410714285715e-08,1.3080357142857142e-09
293,9.7191126279863478e-08,2.0477815699658555e-09,9.0324232081911252e-08,1.6552901023890817e-09,9.9935153583617745e-08,1.557679180887372e-08
383,5.8469973890339427e-08,3.3577023498694473e-09,4.6433420365535253e-08,4.7911227154047143e-09,4.0908616187989549e-08,1.1514360313315914e-09
501,8.5702594810379244e-08,8.1636726546906586e-10,7.9572854291417166e-08,4.0918163672654677e-10,7.8850299401197599e-08,5.3892215568863677e-10
656,9.1655487804878052e-08,9.8170731707317605e-10,8.4413109756097569e-08,9.878048780487782e-10,8.4198170731707326e-08,1.0350609756097709e-09
859,9.7025611175785796e-08,1.4738067520372376e-09,8.8456344586728749e-08,8.5331781140860718e-10,8.7604190919674025e-08,9.499417927823031e-10
1125,1.0418311111111111e-07,5.6711111111109537e-10,9.2433777777777777e-08,7.4844444444445785e-10,9.1402666666666672e-08,3.3155555555554917e-10
1473,1.1191242362525458e-07,1.2932790224032439e-09,1.0192124915139171e-07,5.0006788866259302e-09,1.036510522742702e-07,6.9361846571622626e-09
1929,1.2363659927423537e-07,3.7216174183514773e-09,1.0224883359253501e-07,1.5806117159149977e-09,9.9597719025401766e-08,2.7164333851737191e-10
2526,1.3809778305621538e-07,1.7692003167062593e-09,1.0831512272367379e-07,7.5969912905778609e-10,1.0598218527315915e-07,8.9627870150434843e-10
3309,1.5281504986400725e-07,3.0308250226654333e-09,1.1632003626473253e-07,9.9607132064066663e-10,1.1206950740404956e-07,6.8147476579027528e-10
4334,1.7929856945085372e-07,1.735809875403765e-09,1.2441232118135673e-07,9.4047069681590717e-10,1.1992847254268576e-07,5.1638209506230795e-10
5677,2.1185080147965472e-07,3.4518231460278348e-09,1.3526950854324467e-07,8.951911220715168e-10,1.2843720274793024e-07,1.1049850273031616e-09
7436,2.5505675094136634e-07,5.4393491124260432e-09,1.4745320064550833e-07,2.6093329747175859e-09,1.3949058633674019e-07,1.3013717052178625e-09
9741,3.0515070321322245e-07,6.4786982855969354e-09,1.5964788009444615e-07,2.0886972590083277e-09,1.5963607432501797e-07,8.4472846730315158e-09
12760,3.690382445141066e-07,1.1837617554858954e-08,1.7368291536050155e-07,2.4253918495297745e-09,1.6613142633228838e-07,8.9294670846393835e-10
16715,4.5510349985043376e-07,1.3163326353574622e-08,1.8311570445707448e-07,2.7009871373018418e-09,1.7849835477116363e-07,9.4256655698475003e-10
21896,5.7256402995980997e-07,1.6549689440993737e-08,1.9572369382535625e-07,6.0126050420168432e-09,1.9270400986481551e-07,3.1011600292290892e-09
28683,7.488777324547641e-07,2.3107032039884168e-08,2.2279991632674407e-07,1.0943067322107174e-08,2.2135690130042186e-07,1.5230729003242345e-08
37574,1.0107878586256453e-06,4.3312609783360815e-08,2.5092111566508756e-07,1.0521051791132179e-08,2.2928977484430726e-07,8.5663756853143291e-09
49221,1.3533472704739848e-06,3.3138071148493645e-08,2.7756012677515695e-07,5.5510656020803814e-09,2.5951859978464477e-07,4.0418723715487156e-09
64479,1.7966571907132555e-06,4.6564726500100804e-08,3.2259904775198132e-07,3.7385815536840964e-09,2.9019103894291166e-07,4.8800849889111396e-09
84467,2.4069863141818699e-06,3.2618920998733218e-07,3.6007710703588378e-07,1.9689109356317204e-09,3.3501365030130109e-07,3.1611872092059688e-09
110651,2.8919618801456835e-06,5.3139747494374214e-07,4.0987416290860453e-07,1.003036574454857e-09,3.7858621250598728e-07,2.4228339554093282e-09
144952,3.1637080619791377e-06,1.0581869860367569e-06,4.5976672277719525e-07,3.0614686240963177e-09,4.3290134665268503e-07,4.790096031789844e-09
189887,3.3276238657728017e-06,9.4933617361904703e-07,5.2877424994865371e-07,7.1371815869438454e-09,4.9160195274031396e-07,1.4406273204590129e-08
248751,3.8439422555085207e-06,1.1539891859731218e-06,5.8895355194551975e-07,8.8160731012135462e-09,5.500144964241349e-07,9.0288843059927669e-09
325863,3.4909630703700638e-06,1.2344616418556268e-06,6.5610551366678639e-07,2.7531987368924926e-08,6.1436136658657162e-07,1.1586565519865724e-08
426880,3.5523824166041977e-06,8.2051331990254892e-07,7.2934312687406304e-07,6.0118862443777382e-09,7.0399427708020994e-07,1.7599702492503843e-08
559212,3.0129589154023876e-06,6.4387440898979253e-07,7.4916496427115306e-07,1.2677753696272604e-08,7.1602965422773476e-07,2.1877391758402801e-09
732567,2.2076769223838914e-06,3.7514823627053923e-07,7.7980681493979404e-07,7.3365125647211124e-09,7.4795308005957143e-07,2.1812557759222384e-09
959662,1.9500893137375453e-06,2.7692630321925857e-07,7.7868542153383172e-07,2.9110259653919084e-09,7.6187205182658071e-07,4.2806133826283762e-09
