N,T2,D2,T3,D3
100,4.3699999999999988e-08,4.0299999999999904e-09,3.791e-08,2.7750000000000033e-09
131,5.6877862595419849e-08,2.0076335877862642e-09,4.861832061068702e-08,2.2213740458015371e-09
171,6.0421052631578946e-08,1.8596491228070077e-09,5.7070175438596499e-08,1.3567251461988315e-09
224,6.4508928571428572e-08,1.5357142857142876e-09,6.35357142857143e-08,2.705357142857157e-09
293,6.5863481228668955e-08,1.4232081911262735e-09,6.4972696245733792e-08,1.1331058020477666e-09
383,7.0078328981723242e-08,1.4986945169712805e-09,6.6587467362924289e-08,1.5430809399477648e-09
501,5.293612774451098e-08,5.0239520958083901e-09,5.9648702594810383e-08,6.6866267465070031e-10
656,6.4582317073170717e-08,1.0782012195121935e-08,7.6861280487804871e-08,1.0945121951219547e-09
859,7.8115250291036102e-08,3.6344586728754411e-09,7.5415599534342258e-08,2.7462165308498082e-09
1125,8.2481777777777769e-08,2.0391111111110969e-09,8.0809777777777779e-08,1.6853333333333341e-09
1473,8.9556008146639509e-08,4.0244399185336067e-09,8.3871011541072627e-08,3.2247114731839723e-09
1929,1.0461327112493519e-07,2.006220839813374e-08,9.0008812856402285e-08,4.2234318299637106e-09
2526,1.4866943784639745e-07,5.2690815518606479e-08,1.0208986539984163e-07,1.1202692003167035e-08
3309,1.2181958295557573e-07,2.9349350256875201e-08,1.0016621335750982e-07,8.2450891508008463e-09
4334,1.0983248730964467e-07,1.2481541301338252e-08,1.0245500692201201e-07,1.1042455006922016e-08
5677,1.1526792319887265e-07,6.634842346309674e-09,9.9082790206094757e-08,5.6795842874757643e-09
7436,1.1607450242065627e-07,4.0173480365787809e-09,9.2040747713824634e-08,6.1854491662183968e-09
9741,1.3627338055641104e-07,2.2156349450775078e-08,1.161529617082435e-07,3.3903090031824369e-09
12760,1.13901802507837e-07,3.5539184952977913e-09,9.7190909090909096e-08,1.2476332288401244e-08
16715,9.0916601854621596e-08,1.4868680825605822e-09,9.1528088543224661e-08,1.9973078073586551e-09
21896,9.3264203507489972e-08,1.8063116550968295e-09,9.5508905736207538e-08,1.8507033248081798e-09
28683,9.9506676428546521e-08,2.871735871422102e-09,9.8731025346023769e-08,2.7812990272984057e-09
37574,1.1033076063235216e-07,1.9075424495662035e-09,1.020477723958056e-07,2.282961622398485e-09
49221,1.2004951138741595e-07,4.5741654984661192e-09,1.1046904776416571e-07,6.2145628898234428e-09
64479,1.3732404348702678e-07,7.3315498069138745e-09,1.2313999906946446e-07,5.5262333472913872e-09
84467,1.5147358139865273e-07,7.8523683805509867e-09,1.3837665597215482e-07,9.3187398629050329e-09
110651,1.6078806337041689e-07,1.2801529132136183e-08,1.5164081662163017e-07,7.3923597617735187e-09
144952,1.7109660439317843e-07,9.3063979800209597e-09,1.6278971659583862e-07,7.5999089353717064e-09
189887,1.7844377972162392e-07,9.8647458751783871e-09,1.7468633977049507e-07,1.0736469584542392e-08
248751,1.7976154869729168e-07,1.271585641866766e-08,1.8403480187014325e-07,9.740041246065344e-09
325863,1.9249955042456493e-07,1.0016184715662697e-08,1.8772356481097886e-07,1.4952044264000517e-08
426880,1.9902208348950527e-07,9.6112584332833743e-09,1.9601249062968517e-07,1.3554507121439275e-08
559212,2.0460519266396285e-07,8.467913778674287e-09,2.0041997668147322e-07,1.3502113688547442e-08
732567,2.1059793575195169e-07,1.0030877721764685e-08,2.1050451904057922e-07,1.2080131919674266e-08
959662,2.1565461485397985e-07,1.0790826353445287e-08,2.1621151509594003e-07,1.4924643259814398e-08
1257157,2.2495145713701629e-07,1.5178661058244944e-08,2.2478568388832901e-07,1.3412879218745121e-08
1646875,2.3399238618595827e-07,1.0824851916508556e-08,2.2824203537001897e-07,1.5771133206831148e-08
2157406,2.4053243478510768e-07,1.0577415655653078e-08,2.3766695003165834e-07,1.5787016444748955e-08
2826201,2.4712981136161225e-07,1.1798763074530111e-08,2.4491005133746678e-07,1.3646936293632358e-08
3702323,2.6377986199475308e-07,2.0069964452048112e-08,2.5577998948227911e-07,1.4536070191606695e-08
